Open time,open_price,close_price,volume,Close time
2021-11-15,65519.11000000,63606.74000000,37829.37124000,2021-11-15 23:59:59.999
2021-11-16,63606.73000000,60058.87000000,77455.15609000,2021-11-16 23:59:59.999
2021-11-17,60058.87000000,60344.87000000,46289.38491000,2021-11-17 23:59:59.999
2021-11-18,60344.86000000,56891.62000000,62146.99931000,2021-11-18 23:59:59.999
2021-11-19,56891.62000000,58052.24000000,50715.88726000,2021-11-19 23:59:59.999
2021-11-20,58057.10000000,59707.51000000,33811.59010000,2021-11-20 23:59:59.999
2021-11-21,59707.52000000,58622.02000000,31902.22785000,2021-11-21 23:59:59.999
2021-11-22,58617.70000000,56247.18000000,51724.32047000,2021-11-22 23:59:59.999
2021-11-23,56243.83000000,57541.27000000,49917.85017000,2021-11-23 23:59:59.999
2021-11-24,57541.26000000,57138.29000000,39612.04964000,2021-11-24 23:59:59.999
2021-11-25,57138.29000000,58960.36000000,42153.51522000,2021-11-25 23:59:59.999
2021-11-26,58960.37000000,53726.53000000,65927.87066000,2021-11-26 23:59:59.999
2021-11-27,53723.72000000,54721.03000000,29716.99957000,2021-11-27 23:59:59.999
2021-11-28,54716.47000000,57274.88000000,36163.71370000,2021-11-28 23:59:59.999
2021-11-29,57274.89000000,57776.25000000,40125.28009000,2021-11-29 23:59:59.999
2021-11-30,57776.25000000,56950.56000000,49161.05194000,2021-11-30 23:59:59.999
2021-12-01,56950.56000000,57184.07000000,44956.63656000,2021-12-01 23:59:59.999
2021-12-02,57184.07000000,56480.34000000,37574.05976000,2021-12-02 23:59:59.999
2021-12-03,56484.26000000,53601.05000000,58927.69027000,2021-12-03 23:59:59.999
2021-12-04,53601.05000000,49152.47000000,114203.37374800,2021-12-04 23:59:59.999
2021-12-05,49152.46000000,49396.33000000,45580.82012000,2021-12-05 23:59:59.999
2021-12-06,49396.32000000,50441.92000000,58571.21575000,2021-12-06 23:59:59.999
2021-12-07,50441.91000000,50588.95000000,38253.46877000,2021-12-07 23:59:59.999
2021-12-08,50588.95000000,50471.19000000,38425.92466000,2021-12-08 23:59:59.999
2021-12-09,50471.19000000,47545.59000000,37692.68665000,2021-12-09 23:59:59.999
2021-12-10,47535.90000000,47140.54000000,44233.57391000,2021-12-10 23:59:59.999
2021-12-11,47140.54000000,49389.99000000,28889.19358000,2021-12-11 23:59:59.999
2021-12-12,49389.99000000,50053.90000000,26017.93421000,2021-12-12 23:59:59.999
2021-12-13,50053.90000000,46702.75000000,50869.52093000,2021-12-13 23:59:59.999
2021-12-14,46702.76000000,48343.28000000,39955.98445000,2021-12-14 23:59:59.999
2021-12-15,48336.95000000,48864.98000000,51629.18100000,2021-12-15 23:59:59.999
2021-12-16,48864.98000000,47632.38000000,31949.86739000,2021-12-16 23:59:59.999
2021-12-17,47632.38000000,46131.20000000,43104.48870000,2021-12-17 23:59:59.999
2021-12-18,46133.83000000,46834.48000000,25020.05271000,2021-12-18 23:59:59.999
2021-12-19,46834.47000000,46681.23000000,29305.70665000,2021-12-19 23:59:59.999
2021-12-20,46681.24000000,46914.16000000,35848.50609000,2021-12-20 23:59:59.999
2021-12-21,46914.17000000,48889.88000000,37713.92924000,2021-12-21 23:59:59.999
2021-12-22,48887.59000000,48588.16000000,27004.20220000,2021-12-22 23:59:59.999
2021-12-23,48588.17000000,50838.81000000,35192.54046000,2021-12-23 23:59:59.999
2021-12-24,50838.82000000,50820.00000000,31684.84269000,2021-12-24 23:59:59.999
2021-12-25,50819.99000000,50399.66000000,19135.51613000,2021-12-25 23:59:59.999
2021-12-26,50399.67000000,50775.49000000,22569.88914000,2021-12-26 23:59:59.999
2021-12-27,50775.48000000,50701.44000000,28792.21566000,2021-12-27 23:59:59.999
2021-12-28,50701.44000000,47543.74000000,45853.33924000,2021-12-28 23:59:59.999
2021-12-29,47543.74000000,46464.66000000,39498.87000000,2021-12-29 23:59:59.999
2021-12-30,46464.66000000,47120.87000000,30352.29569000,2021-12-30 23:59:59.999
2021-12-31,47120.88000000,46216.93000000,34937.99796000,2021-12-31 23:59:59.999
2022-01-01,46216.93000000,47722.65000000,19604.46325000,2022-01-01 23:59:59.999
2022-01-02,47722.66000000,47286.18000000,18340.46040000,2022-01-02 23:59:59.999
2022-01-03,47286.18000000,46446.10000000,27662.07710000,2022-01-03 23:59:59.999
2022-01-04,46446.10000000,45832.01000000,35491.41360000,2022-01-04 23:59:59.999
2022-01-05,45832.01000000,43451.13000000,51784.11857000,2022-01-05 23:59:59.999
2022-01-06,43451.14000000,43082.31000000,38880.37305000,2022-01-06 23:59:59.999
2022-01-07,43082.30000000,41566.48000000,54836.50818000,2022-01-07 23:59:59.999
2022-01-08,41566.48000000,41679.74000000,32952.73111000,2022-01-08 23:59:59.999
2022-01-09,41679.74000000,41864.62000000,22724.39426000,2022-01-09 23:59:59.999
2022-01-10,41864.62000000,41822.49000000,50729.17019000,2022-01-10 23:59:59.999
2022-01-11,41822.49000000,42729.29000000,37296.43729000,2022-01-11 23:59:59.999
2022-01-12,42729.29000000,43902.66000000,33943.29280000,2022-01-12 23:59:59.999
2022-01-13,43902.65000000,42560.11000000,34910.87762000,2022-01-13 23:59:59.999
2022-01-14,42558.35000000,43059.96000000,32640.88292000,2022-01-14 23:59:59.999
2022-01-15,43059.96000000,43084.29000000,21936.05616000,2022-01-15 23:59:59.999
2022-01-16,43084.29000000,43071.66000000,20602.35271000,2022-01-16 23:59:59.999
2022-01-17,43071.66000000,42201.62000000,27562.08613000,2022-01-17 23:59:59.999
